Project Title,Type of Research,Project Description,Relevant Links,Key Words
NIH - National Center for Advancing Translational Sciences (NCATS),,"Applications will be accepted on a rolling basis through November 10, 2020.
The National Center for Advancing Translational Sciences (NCATS) is issuing this Notice of Special Interest (NOSI) to highlight the need for projects that address the coronavirus disease 2019 (COVID-19) Public Health Emergency. The Clinical and Translational Science Award (CTSA) Program is uniquely qualified to contribute to these efforts. NCATS is soliciting applications for Administrative Supplements (through PA-18-591) from current Clinical and Translational Science Award (CTSA) UL1 and U24 award recipients. See guidelines for specific FOAs.",https://grants.nih.gov/grants/guide/notice-files/not-tr-20-029.html,Technology and Computer Science
"NIH - National Heart, Lung, and Blood Institute (NHLBI)",,"Applications will be accepted on a rolling basis through October 05, 2020
National Heart, Lung, and Blood Institute (NHLBI) is encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants to address research on Coronavirus Disease 2019 (COVID-19) and on biological effects of its causative agent, the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Topics of specific interest to NHLBI include host response, associations with heart, lung, and blood (HLB) diseases, potential impacts on transfusion safety, and clinical outcomes of infected individuals.",https://grants.nih.gov/grants/guide/notice-files/NOT-HL-20-757.html,Biomedical
NIH - National Institute of Allergy and Infectious Diseases (NIAID),,"Applications will be accepted on a rolling basis, beginning on 04/30/2020.
The purpose of this Funding Opportunity Announcement (FOA) is to provide an expedited funding mechanism for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19). NIAID is issuing this FOA in response to the declared public health emergency issued by the Secretary, HHS, for 2019 Novel Coronavirus (COVID-19). See guidelines for areas of high priority.",https://grants.nih.gov/grants/guide/pa-files/PAR-20-178.html,Technology and Computer Science
NIH - National Institute of Allergy and Infectious Diseases (NIAID),,"Applications for this limited competition FOA will be accepted on a rolling basis, beginning July 13, 2020.
The purpose of this public health emergency funding opportunity is to provide Personal Protective Equipment (PPE) to directly support the needs of the NIAID’s vaccine and treatment clinical trials and clinical studies for COVID-19. This program will ensure that adequate protective equipment is available to directly assist in safely carrying out the clinical activities and direct interactions with the patients participating in the trial. Eligibility is limited to recipients conducting COVID-related clinical research and clinical studies supported by NIAID’s emergency appropriation provided by “The Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020” and “The Coronavirus Aid, Relief and Economic Security (CARES) Act”.",https://grants.nih.gov/grants/guide/pa-files/PAR-20-256.html,Technology and Computer Science
NIH - National Institute of Biomedical Imaging and Bioengineering (NIBIB),,"Applications will be accepted on a rolling basis through November 10, 2020
The National Institute of Biomedical Imaging and Bioengineering (NIBIB) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for accelerating the development, translation, and commercialization of technologies to address Coronavirus Disease 2019 (COVID-19). The NIBIB is seeking applications from current grantees to develop life-saving technologies that can be ready for commercialization within one to two years. Please see notice for examples of technologies.",https://grants.nih.gov/grants/guide/notice-files/not-eb-20-008.html,Technology and Computer Science
NIH - National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,"Letter of Intent is due November 16, 2020, but is not required.
The purpose of this Funding Opportunity Announcement (FOA) is to support basic and clinical mechanistic research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) susceptibility, routes of infection, course of disease, morbidity and mortality in people with pre-existing diseases, or adverse acute or chronic outcomes in organs, tissues, and biological systems of specific interest to NIDDK. These include diabetes and other metabolic diseases, obesity, and endocrine, digestive, liver, pancreas, kidney, urological, and hematologic tissues and diseases.",https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-20-021.html,Technology and Computer Science
NIH - National Institute of General Medical Sciences (NIGMS),,"Applications will be accepted on a rolling basis through February 5, 2021.
National Iinstitute of General Medical Sciences will accept the submission of applications for Competitive Revisions to active grants to address only the following research areas of interest: Incorporation of data related to SARS-CoV-2 into ongoing research efforts to develop predictive models for the spread of SARS-CoV-2 and other related infectious agents (all relevant grants). Repurposing or modification of diagnostic tools currently under development to enable rapid detection of SARS-CoV-2 infection (SBIR/STTR grants only). Rapid development of potential therapeutic agents for COVID-19 (SBIR/STTR only).",https://grants.nih.gov/grants/guide/notice-files/NOT-GM-20-025.html,Technology and Computer Science
NIH - National Institute of Health,,"Letter of intent (LOI) due date is 8/4/2020, but is not mandatory. Only 2 applications per institution. See the VT Limited Submission system to declare internal notice of intent.
The NIH Director's Early Independence Award (a component of the High-Risk, High-Reward Research program of the NIH Common Fund) provides an opportunity for exceptional junior scientists to accelerate their entry into an independent research career by forgoing the traditional post-doctoral training period. Though most newly graduated doctoral-level researchers would benefit from post-doctoral training, a small number of outstanding junior investigators are capable of launching directly into an independent research career. For those select junior investigators who have already established a record of scientific innovation and research productivity and have demonstrated unusual scientific vision and maturity, typical post-doctoral training would unnecessarily delay their entry into independent research. Due to the COVID-19 public health emergency, the Common Fund will dedicate funds provided by the CARES Act to support a total of 5-10 Early Independence Awards (through this FOA) or Transformative Research Awards (through RFA-RM-20-020) that bring new, innovative perspectives and approaches to the prevention of, preparation for, or response to coronavirus SARS-CoV-2, domestically or internationally. Any relevant area of coronavirus SARS-CoV-2 research is welcome, including behavioral/social science research, research on health disparities, novel therapeutics, and other related topics.",https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-20-021.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Applications may be submitted either on 08/28/2020 or 12/01/2020.
This Funding Opportunity Announcement (FOA) encourages research with NIH-designated health disparity populations and other vulnerable groups on community interventions to address the adverse psychosocial, behavioral, and socioeconomic effects of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19). Applications are sought to test: 1) the impacts of mitigation strategies to prevent COVID-19 transmission and acquisition; and 2) already implemented, new, or adapted interventions to address the adverse consequences of the pandemic on the health of these groups.",https://grants.nih.gov/grants/guide/pa-files/PAR-20-237.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Letter of intent is due 07/08/2020, but not required. Only one application per institution is allowed. Please indicate interest in the VT Limited Submission System.
NIH is issuing this FOA in response to the declared public health emergency issued by the Secretary, HHS, for 2019 Novel Coronavirus (COVID-19). This emergency cooperative agreement funding opportunity announcement (FOA) from the National Institutes of Health (NIH) provides an expedited funding mechanism as part of the Rapid Acceleration of Diagnostics-Underserved Populations (RADx-UP) initiative, a consortium of community-engaged research projects to understand factors that have led to disproportionate burden of the pandemic on the underserved and/or vulnerable populations so that interventions can be implemented to decrease these disparities. This FOA seeks to fund a single Coordination and Data Collection Center (CDCC) as an integral part of the consortium.",https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-20-013.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Applications will be accepted on a rolling basis through March 31, 2021.
The following Institute/Centers :Office of Behavioral and Social Sciences Research (OBSSR), National Heart, Lung, and Blood Institute (NHLBI), National Institute on Aging (NIA), National Institute on Alcohol Abuse and Alcoholism (NIAAA), National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), National Institute of Environmental Health Sciences (NIEHS), National Center for Complementary and Integrative Health (NCCIH) are encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants. This Notice of Special Interest (NOSI) highlights the urgent need for social, behavioral, economic, health communication, and epidemiologic research relevant to the 2019 Novel Coronavirus (SARS-CoV-2) and COVID-19. This NOSI encourages urgent competitive supplements and administrative supplements to existing longitudinal studies that address key social and behavioral questions related to the COVID-19 pandemic, including adherence to and transmission mitigation from various containment and mitigation efforts; social, behavioral, and economic impacts from these containment and mitigation efforts; and downstream health impacts resulting from these social, behavioral, and economic impacts,including differences in risk and resiliency based on gender, race and ethnicity, socioeconomic status, and other social determinants of health.",https://grants.nih.gov/grants/guide/notice-files/not-od-20-097.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Applications may be submitted beginning on July 8, 2020 for Application Due Dates of August 7, 2020 OR September 8, 2020. Applications received after September 8, 2020 will not be considered.
This Notice of Special Interest (NOSI) highlights the urgent need to understand the social, ethical, and behavioral implications (SEBI) of COVID-19 testing among underserved and/or vulnerable populations across the United States through the Rapid Acceleration of Diagnostics for Underserved Populations (RADx-UP) initiative. The overarching goal is to understand factors that have led to disproportionate burden of the pandemic on these underserved populations so that interventions can be implemented to decrease these disparities.",https://grants.nih.gov/grants/guide/notice-files/NOT-OD-20-119.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Applications will be accepted on a rolling basis from May 01, 2020 through May 01, 2021.
The National Institute on Minority Health and Health Disparities (NIMHD) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the impact of the novel Coronavirus (SARS-CoV-2) pandemic causing COVID-19 disease outbreaks and the resulting disruptions on individual and social wellbeing, health services use, and health outcomes for NIH-designated health disparity populations.The National Institute of Mental Health (NIMH) will accept and consider support for applications for supplements and revisions to NIMH projects that fall within the scope of this announcement and are relevant to the mission and strategic priorities of the NIMH. Applications to examine how a disrupted workforce may adequately respond/adapt to and maintain services or provide additional care for new or worsening mental health needs where we anticipate health disparities will be most prominent will be seen as a high priority. The National Institute on Aging (NIA) will accept applications for supplements and revisions to NIA-supported projects that fall within the scope of this announcement and are relevant to the mission and strategic priorities of the NIA. Applications are encouraged that address the specific needs and circumstances of midlife and older adults, including, but not limited to, individuals with Mild Cognitive Impairment (MCI), Alzheimer's disease and Alzheimer's disease related dementias (AD/ADRD) and their healthcare providers and caregivers.",https://grants.nih.gov/grants/guide/notice-files/NOT-MD-20-019.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Applications may be submitted beginning on July 8, 2020 for Application Due Dates of August 7, 2020 OR September 8, 2020. Applications received after September 8, 2020 will not be considered.
This Notice of Special Interest (NOSI) highlights the urgent need to understand and address COVID-19 morbidity and mortality disparities among underserved and vulnerable populations across the United States. These two-year community-engaged Testing Research Projects will examine SARS-CoV-2 infection patterns and efforts to increase access and effectiveness of diagnostic methods through the Rapid Acceleration of Diagnostics for Underserved Populations (RADx-UP) initiative. The overarching goal is to understand factors that have led to disproportionate burden of the pandemic on these underserved populations so that interventions can be implemented to decrease these disparities.",https://grants.nih.gov/grants/guide/notice-files/NOT-OD-20-120.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Applications will be accepted on a rolling basis from April 6, 2020 through May 1, 2021.
National Institute on Aging (NIA) is encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants to address the following research areas of interest: Division of Aging Biology, Division of Neuroscience, Division of Geriatrics and Clinical Gerontology, Division of Behavioral and Social Research. The National Institute of Mental Health (NIMH) will accept and consider support for applications for supplements and revisions to NIMH projects that fall within the scope of this announcement and are relevant to the mission and strategic priorities of the NIMH. Applications to examine how a disrupted workforce may adequately respond/adapt to and maintain services or provide additional care for new or worsening mental health needs and/or suicide risk in midlife and older age adults will be seen as a high priority.",https://grants.nih.gov/grants/guide/notice-files/NOT-AG-20-022.html,Technology and Computer Science
NIH - National Institute on Aging (NIA),,"Applications will be accepted on a rolling basis through February 01, 2021.
This Funding Opportunity Announcement (FOA) invites applications for implementation of investigator-initiated multi-site clinical trials (all phases or stages) of interventions focused on specific aging-related issues to reducing transmission, risk, morbidity, mortality, severity, or complications of Coronavirus Disease 2019 (COVID-19).",https://grants.nih.gov/grants/guide/pa-files/PAR-20-234.html,Biomedical
NIH - National Institute on Drug Abuse (NIDA),,"Applications will be accepted on a rolling basis through March 31, 2021.
National Institute on Drug Abuse (NIDA) is encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants to address research collecting and examining data on the risks and outcomes for COVID-19 infection in individuals suffering from substance use disorders.",https://grants.nih.gov/grants/guide/notice-files/NOT-DA-20-047.html,Technology and Computer Science
National Aeronautics and Space Administration (NASA),,"Applications will be accepted on a rolling basis through March 29, 2021.
Current Principal investigators within NASA's Earth Science Division (ESD) Research and Analysis (R&A), Applied Sciences Program (ASP), and Earth Science Data Systems Program (ESDS) have begun to reach out to their program managers to explore and/or ask about the possibility of redirecting existing efforts and/or requesting additional support to utilize NASA products to address the environmental, economic, and/or societal impacts of the COVID-19 pandemic. Relative to potential requests for new and/or additional support, NASA's Earth Science Division (ESD) would like to call the attention of the Earth Science research, applications, and data systems communities to Program Element A.28 ""Rapid Response and Novel Research in Earth Science"" (RRNES) of Research Opportunities in Space and Earth Sciences (ROSES) 2020 as an opportunity to propose investigations making innovative use of NASA satellite data to address regional-to-global environmental, economic, and/or societal impacts of the COVID-19 pandemic.",https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=742447/solicitationId=%7B3F3DFBFB-8FEE-F317-63FD-CB84ECA833EC%7D/viewSolicitationDocument=1/RRNES_NSPIRES%20note_v4.pdf,Technology and Computer Science
National Science Foundation (NSF),,"Development and deployment of new technologies, products, processes, and services with the potential to positively impact the nation's and world's ability to respond to the COVID-19 crisis. Areas of research that might be considered include, but are not limited to: artificial intelligence, digital health, diagnostics, distributed ledger, environmental technologies, medical devices, pharmaceutical technologies, disinfection and sterilization, and filtration and separations.",https://www.nsf.gov/pubs/2020/nsf20065/nsf20065.jsp?org=NSF,Other
National Science Foundation (NSF),,"Accepting proposals to conduct non-medical, non-clinical-care research that can be used immediately to better understand how to model and understand the spread of COVID-19; to inform and educate about the science of virus transmission and prevention; and to encourage the development of processes and actions to address this global challenge. Through this DCL, the Office of Advanced Cyberinfrastructure (OAC) within the Directorate for Computer and Information Science and Engineering is inviting RAPID proposals and supplemental funding requests to existing awards that address COVID-19 challenges through data and/or software infrastructure development activities.",https://www.nsf.gov/pubs/2020/nsf20055/nsf20055.jsp,Other
Oak Ridge National Laboratory (ORNL),,"The Department of Energy Basic Energy Sciences advanced neutron sources will provide remote rapid access to advanced user facilities to support research into the COVID-19 virus and the search for effective diagnostics and therapies. Facilities that will be made available at the Spallation Neutron Source (SNS) and High Flux Isotope Reactor (HFIR) at Oak Ridge National Laboratory (ORNL), include neutron macromolecular crystallography, small-angle scattering, reflectometry, spectroscopy and imaging beamlines. All users must be registered and their home institution must have an active User Agreement. Faculty should contact ospcontracts@vt.edu for assistance if they wish to request access. No need to enter the request in Summit.",https://neutrons.ornl.gov/covid-19,Technology and Computer Science
Russell Sage Foundation,,"For its August 5, 2020 deadline, RSF will only accept letters of inquiry relevant to one of RSF’s core programs - see description.
The Russell Sage Foundation (RSF) has long supported social science research with the aim of improving social and living conditions in the United States.  In response to the crises of 2020, the foundation is dedicating its next funding cycle exclusively to research that seeks to improve our understanding of these extraordinary times. The severe consequences of the Covid19-pandemic, including its economic disruptions, and the recent mass protests to combat systemic racial inequality in policing and other institutions have reaffirmed the importance of social science research examining economic, political, racial, ethnic, generational, and social inequalities relevant to public policy and social change. For its August 5, 2020 deadline, RSF will only accept letters of inquiry relevant to one of RSF’s core programs that address at least one of the following issues: 1)Research on the Covid-19 pandemic and the resulting recession in the U.S. and 2) Research focused on systemic racial inequality and/or the recent mass protests in the U.S.",https://www.russellsage.org/how-to-apply/application-deadlines,Technology and Computer Science
Argonne National Laboratory (ANL),,"The Advance Photon Source continues to operate, providing expedited, remote access but only for research related to COVID-19 at this time. The Structural Biology Portal lists available APS beamlines for macromolecular crystallography and BioSAXS. Step-by-step instructions on how to apply for expedited beam time are listed on the New User Checklist. All users must be registered and their home institution must have an active User Agreement. Faculty should contact ospcontracts@vt.edu for assistance if they wish to request access. No need to enter the request in Summit.",https://www.aps.anl.gov/Users-Information/covid19/proposal,Technology and Computer Science
Brookhaven National Laboratory (BNL),,The Center for Biomolecular Structure team is supporting remote macromolecular crystallography experiments at Beamlines 17-ID-1 (AMX) and 17-ID-2 (FMX) for research projects related to COVID-19. All users must be registered and their home institution must have an active User Agreement. Faculty should contact ospcontracts@vt.edu for assistance if they wish to request access. No need to enter the request in Summit.,https://www.bnl.gov/ps/,Technology and Computer Science
Department of Energy (DOE),,"Department of Energy (DOE) has unique capabilities that the scientific community may leverage for the COVID-19 response and recovery. The Department encourages you to consider scientific questions that underpin COVID-19 response and that the research community may answer using DOE user facilities, computational resources, and enabling infrastructure. Please send research questions that the scientific community may address with DOE resources by email to SC.DCL@ science.doe.gov",https://science.osti.gov/-/media/sc-1/pdf/COVID-19-letter.pdf?la=en&hash=2A142317F56F185FC3E2CEF0AEAD6CACB3E70C7F,Technology and Computer Science
Department of State; U.S. Mission to India,,"This funding opportunity seeks to support effective coalitions that will bolster and leverage U.S.-India collaboration across a range of fields to fight COVID-19, in India and globally. Potential grantees should be able to implement a small-grants program to promote innovation in addressing COVID-19, encourage partnerships between U.S. and Indian institutions and organizations in combating COVID-19, and facilitate joint action that makes a difference against the disease. The grant will provide resources for a grantee to manage and administer small grants to stakeholders from government organizations, non-profits, think tanks, academic institutions, incubators and accelerators, in close coordination with the U.S. Mission to India. See guidelines for project areas.",https://www.grants.gov/web/grants/view-opportunity.html?oppId=326595,Other
Extreme Science and Engineering Discovery Environment (XSEDE),,"No specific due date for submission. XSEDE will be reviewing the applications on a continous basis.
To request access to resources of the COVID-19 HPC Consortium, you must prepare a description, no longer than three pages, of your proposed work. To ensure your request is directed to the appropriate resource(s), your description should include the following sections.",https://www.xsede.org/covid19-hpc-consortium,Technology and Computer Science
Food and Drug Administration (FDA),,"Applications will be reviewed on a rolling basis through 9/24/2020.
A research opportunity is currently available with the Division of Plasma Protein Therapeutics (DPPT), in the Office of Tissues and Advanced Therapies (OTAT), at the Center for Biologics Evaluation and Research (CBER), Food and Drug Administration (FDA) located in Silver Spring, Maryland. The recent emergence of SARS-CoV-2, the causative agent of COVID-19, has sparked a global search for effective therapies and a vaccine. DPPT has a research opportunity for a recent graduate in computational biology /bioinformatics / computer science to be involved with a project related to COVID-19. The project focuses on using computational models to predict efficacy of novel drugs and biologics, including neutralizing antibodies, against SARS-CoV-2. The project also has a focus on vaccine design through sequence deoptimization. This will involve the use of existing bioinformatics pipelines and development of novel computational tools.",https://www.zintellect.com/Opportunity/Details/FDA-CBER-2020-0035,Technology and Computer Science
Health Effects Institute (HEI),,"Mandatory letter of intent (LOI) due June 8th. Applicants will be informed whether or not to submit a full application by early July. HEI may contact the applicant to advise him or her about how to make the application more responsive to the specific objectives of the RFA.
Request for Applications 20-1B solicits applications for research on novel and important aspects of the intersection of exposure to air pollution and COVID-19 health outcomes. Applicants will be asked to submit a detailed letter of intent, followed by an invited full application, using an expedited application review process. HEI is particularly interested in applications that address the following questions: (1) Accountability research: What are the effects of the unprecedented interventions taken to control the COVID-19 pandemic on emissions, air pollution, and human health? (2) Susceptibility factors: Are individuals/populations who have been chronically or acutely exposed to higher levels of air pollution at greater risk of mortality from COVID-19 compared to those exposed to lower levels of air pollution? Do the effects differ by race/ethnicity or by measures of socioeconomic status?",https://www.healtheffects.org/research/funding/rfa-20-1b-air-pollution-covid-19-and-human-health,Technology and Computer Science
Mozilla,,"Applications will be reviewed on a rolling basis.
Mozilla will provide awards of up to $50,000 each to open source technology projects which are responding to the COVID-19 pandemic in some way. As part of the COVID-19 Solutions Fund, we will accept applications that are hardware (e.g., an open source ventilator), software (e.g., a platform that connects hospitals with people who have 3D printers who can print parts for that open source ventilator), as well as software that solves for secondary effects of COVID-19 (e.g., a browser plugin that combats COVID related misinformation).",https://blog.mozilla.org/blog/2020/03/31/moss-launches-covid-19-solutions-fund/,Technology and Computer Science
NIH - National Center for Advancing Translational Sciences (NCATS),,"Applications will be accepted on a rolling basis from May 15, 2020 to January 25, 2022.
National Center for Advancing Translational Sciences (NCATS) is encouraging the submission of applications for Administrative Supplements (PA-18-591). NCATS is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the COVID-19. NCATS is especially interested in research in the use of microphysiological systems or tissue chips in collecting and examining data on the risks and outcomes for COVID-19 infection, and advance the translation of research findings into diagnostics, therapeutics, and vaccines. A multi-organ on chip approach is strongly encouraged though not required.",https://grants.nih.gov/grants/guide/notice-files/NOT-TR-20-016.html,Technology and Computer Science
NIH - National Center for Advancing Translational Sciences (NCATS),,"There are various due dates for the different award types. Check the solicitation for specific due dates.
National Center for Advancing Translational Sciences (NCATS) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the 2019 novel Coronavirus (COVID-19). NCATS is particularly interested in projects focusing on the use of informatics solutions to diagnose cases and the use of CTSA-supported core resources (e.g., advanced scientific instruments, highly-specialized facilities, and regulatory expertise) to facilitate research on COVID-19 and advance the translation of research findings into diagnostics, therapeutics, and vaccines. NCATS is soliciting applications for Administrative Supplements to UL1, U01, and R21 awards (through PA-18-591), Collaborative Innovation Awards to U01 and R21 awards (through PAR-19-099 and PAR-19-100, respectively), and Competitive Revisions for UL1 awards for each of the non-administrative supplement awards (through PAR-19-337).",https://grants.nih.gov/grants/guide/notice-files/NOT-TR-20-011.html,Technology and Computer Science
