Project Title,Source,Relevant Links,Project Description
Clinical trial of novel therapeutic for mild COVID-19 infection to prevent severe disease and reduce viral shedding,Stanford," https://med.stanford.edu/profiles/jason-andrews 
https://profiles.stanford.edu/julie-parsonnet 
https://med.stanford.edu/profiles/prasanna-jagannathan 
https://med.stanford.edu/profiles/upinder-singh 
https://med.stanford.edu/profiles/julie-parsonnet 
https://profiles.stanford.edu/jason-andrews 
https://abslab.sites.stanford.edu/ 
https://surf.stanford.edu/covid-19-tools/covid-19/ ","Singh’s team is conducting a trial of a novel therapeutic called Lambda, a broad-spectrum anti-viral compound that’s been given to more than 3,000 patients in clinical trials of hepatitis viruses, for efficacy in outpatients with mild COVID-19. In vitro and animal-model data suggest Lambda may also inhibit replication of respiratory viruses, such as the COVID-19 virus. The team plans to perform a phase 2 randomized controlled trial of Lambda among outpatients with mild COVID-19 to determine whether the drug reduces the duration of symptoms, viral shedding and the risk of hospitalization."
Develop proofs-of-concept for two novel COVID-19 drugs to begin clinical trials,Stanford," https://med.stanford.edu/profiles/rhiju-das 
https://med.stanford.edu/profiles/jeffrey-glenn ","Glenn is preparing two potential COVID-19 drugs for clinical trials: a lipid kinase inhibitor that could be used to combat COVID-19 and other viruses, and a locked nucleic acid, similar to one that he has successfully developed to target every known strain of the flu and that could potentially be used during any flu pandemic. Both of these drugs could treat multiple viruses and strains, have high barriers to resistance, and, in some cases, could be used in nonviral applications."
Using artificial intelligence to predict drugs that may inhibit COVID-19,Stanford," https://med.stanford.edu/profiles/russ-altman 
https://abslab.sites.stanford.edu/ 
https://surf.stanford.edu/covid-19-tools/covid-19/ ","Altman and his group have used artificial intelligence to computationally predict six drugs that could inhibit TMPRSS2, a protein that plays a key role in SARS-CoV-2 infections. Altman and his collaborators outside of Stanford Medicine plan to conduct experimental follow-up studies to explore the efficacy of two of the drugs in blocking SARS-CoV-2 from causing infection. While promising, the potential drugs are still part of a preliminary computational analysis and would be dangerous to use clinically at this time."
Assessing COVID-19-related needs among low-income and racial and ethnic minority populations,Stanford, https://profiles.stanford.edu/lisa-goldman-rosas ,"Goldman Rosas and team are assessing COVID-19-related needs among Bay Area low-income and racial and ethnic minority populations, using surveys and interviews to rapidly disseminate results to community partner organizations. The quantitative and qualitative data they collect will enable them to work with community partners to plan interventions that address disparities."
Genomic surveillance to identify silent transmission clusters of COVID-19,Stanford," https://med.stanford.edu/profiles/jason-andrews 
https://profiles.stanford.edu/jason-andrews ",Andrews’ team is developing and testing novel tools that utilize microbial whole-genome sequences to identify chains of transmission between individuals. Andrews proposes to work with local hospitals and the state and county health departments to perform whole-genome sequencing on all COVID-19-positive samples and apply these methods in real-time to characterize transmission chains and help guide public health investigations.
Determining pathogenicity of various variants and strains of COVID-19,Stanford," https://med.stanford.edu/profiles/benjamin-pinsky 
https://med.stanford.edu/profiles/michael-snyder ","Snyder and his group plan to track different variants and strains of COVID-19 and quantitatively determine which ones correlate with different phenotypes, such as levels of pathogenicity. His team also plans to study the false negative rate of COVID-19, seeking to better understand how many people receive a false negative test result during early stages of the disease."
COVID-19 and Stanford WELL for Life study to understand the effects of shelter-in-place on well-being,Stanford, https://profiles.stanford.edu/ann-hsing ,"Hsing and the Stanford WELL for Life team are investigating the effect of COVID-19 and the shelter-in-place order on well-being. They are surveying existing Stanford WELL for Life participants (about 5,000) with the WELL questionnaire, which measures distress and multiple dimensions of well-being longitudinally at six time points over the next 12 months. This approach will enable the evaluation of the short- and long-term effects of COVID-19 quarantine and social distancing on emotions, social connectedness and physical health."
Investigation of possible oral-fecal transmission of SARS-CoV-2 in the Bay Area,Stanford," https://med.stanford.edu/profiles/benjamin-pinsky 
https://profiles.stanford.edu/niaz-banaei 
https://med.stanford.edu/profiles/niaz-banaei 
https://med.stanford.edu/profiles/arezvani 
https://med.stanford.edu/profiles/ami-bhatt 
https://med.stanford.edu/profiles/angela-rogers ","The Bhatt group and collaborators are investigating whether SARS-CoV-2 was circulating through oral-fecal cycles in the Bay Area community. The lab plans to screen stool samples collected through a biobank at Stanford for signs of SARS-CoV-2 from December 2019 through December 2020. Depending on sample availability, the team also plans to research whether a patient’s gut microbiome composition affects gastrointestinal symptoms of COVID-19, as well as other details about how the virus sheds."
Enhancing the public health data ecosystem for COVID-19 prevention,Stanford," https://profiles.stanford.edu/lorene-nelson 
https://med.stanford.edu/profiles/lorene-nelson ","Nelson and her team are building an integrated geospatial data ecosystem for examining geographic clustering and unequal burden of COVID-19 by income, race/ethnicity, household crowding and other social determinants of health. They will begin with Santa Clara and Solano counties, but the system is scalable to all 58 California counties. This work will enable public health agencies to identify risk factors for SARS-CoV-2 infection and predict and prevent future outbreaks. "
Model for hospital bed and resource use projections,Stanford," https://med.stanford.edu/profiles/david-scheinker 
https://profiles.stanford.edu/david-scheinker ","Scheinker’s team has developed two interactive models that are available online to the public. One helps project bed and resource capacity, and the other helps  project the number of hospitalizations countywide."
Modeling outcomes of COVID-19 patients,Stanford," https://profiles.stanford.edu/tina-hernandez-boussard 
https://profiles.stanford.edu/manisha-desai ","Hernandez-Boussard and Desai plan to use data from patients who tested positive for COVID-19 at Stanford Health Care to investigate how disease burden varies significantly in patients infected with the virus. Currently, the association of co-infections, symptomatology, comorbidities and other parameters on patient trajectories is unknown."
"School closures, health care worker absenteeism, and child care subsidies",Stanford," https://profiles.stanford.edu/benjamin-huynh 
https://med.stanford.edu/profiles/elizabeth-chin ","School closures help reduce peak hospital bed demand, but they can unintentionally cause health care worker absenteeism for those with children. Huynh and Chin are examining the economic feasibility of child care subsidies, as well as the policy effects of child care interventions on absenteeism at Stanford Health Care."
COVID-19 patients presenting in impending respiratory failure from ambulatory settings,Stanford," https://med.stanford.edu/profiles/harris-carmichael 
https://profiles.stanford.edu/steven-asch ",Carmichael and Asch are investigating the connection between unusual symptoms of COVID-19 and the frequency that those cases become ambulatory patients with severe respiratory failure or impending severe respiratory failure. Their objective is to describe clinical factors that may identify people with COVID-19 predisposed to severe respiratory failure outside the hospital.
Systems biological “multi-omics” analysis of immunity to COVID-19 infection,Stanford, https://med.stanford.edu/profiles/bali-pulendran ,Pulendran is investigating the interaction between the human immune system and the SARS-CoV-2 virus through systems-biological methods. His group will use a “multi-omics” approach to probe the host immune system response to SARS-CoV-2 during asymptomatic and symptomatic phases of infection. Their goal is to determine why some people get more severe symptoms than others and to identify biomarkers that predict disease severity in vulnerable populations. His group will also study the immune mechanisms by which vaccines confer protection against SARS-CoV-2.
Deep omics profiling to determine the genomic factors at play in disease severity,Stanford," https://profiles.stanford.edu/victoria-parikh 
https://profiles.stanford.edu/carlos-bustamante 
https://profiles.stanford.edu/matthew-wheeler 
https://profiles.stanford.edu/euan-ashley 
https://profiles.stanford.edu/manuel-rivas ","Ashley, Parikh and their team are sequencing genomic information from SARS-CoV-2 and human hosts to better understand the diversity of host responses to the virus. Their work aims to better elucidate genomic details underlying COVID-19 disease severity. To do so, the team will collect de-identified omic and clinical data for 1,000 Stanford patients who tested positive for COVID-19-, including hospitalized patients and patients who were in the intensive care unit."
Role of antibodies in SARS-CoV-2 infection and COVID-19 disease ,Stanford, https://profiles.stanford.edu/taia-wang ,"Wang and her group are studying molecules that correlate with immunity against COVID-19. Their studies focus on defining a protective antibody response, and they will investigate whether antibodies have a role in determining the severity of COVID-19. The overarching goal of this work is to guide the development of vaccines and monoclonal antibody therapeutics against SARS-CoV-2."
Comparative pathology and pathogenesis of COVID-19 infections in humans and animal models,Stanford," https://profiles.stanford.edu/sizun-jiang 
https://profiles.stanford.edu/brice-gaudilliere 
https://profiles.stanford.edu/david-mcilwain 
https://profiles.stanford.edu/garry-nolan 
https://abslab.sites.stanford.edu/ 
https://surf.stanford.edu/covid-19-tools/covid-19/ ",Nolan and his team are applying multiplexed technologies to achieve in-depth profiling of immune responses to SARS-CoV-2 in nonclinical and clinical studies. Their goal is to identify immune markers associated with outcomes for COVID-19 and understand the arrangement of immune cells relative to lung tissue cells during infection.
SARS-CoV-2 tissue specificity and its role in progression to multi-organ failure,Stanford, https://profiles.stanford.edu/scott-boyd ,"An increasing number of reports show the association of COVID-19 deaths with cardiac injury, cardiac arrest, arrhythmias and likely myocarditis. It is largely unclear if these serious and sometimes fatal conditions are due to direct SARS-CoV-2 influence, immunological responses or complications from existing cardiovascular disorders. Through this project, Boyd, Nielsen and their team aim to investigate which tissues support the growth of SARS-CoV-2. They will also analyze the local tissue B-cell-mediated immune responses in COVID-19 to assess for antibody responses contributing to tissue pathology."
The Apollo study,Stanford," https://med.stanford.edu/profiles/steven-goodman 
https://profiles.stanford.edu/lorene-nelson 
https://med.stanford.edu/profiles/melissa-bondy 
https://med.stanford.edu/profiles/lorene-nelson ","Bondy, Nelson and Goodman have launched a national survey that aims to assess how the COVID-19 pandemic is affecting the population physically, socially, emotionally and financially. The team’s survey is hosted by an app, called Apollo, that’s designed to screen patients at drive-through COVID-19 testing sites."
Caregiver survey COVID-19,Stanford, https://profiles.stanford.edu/ranak-trivedi ,"Trivedi and her team are conducting an anonymous online survey to better understand the experiences of informal caregivers during the COVID-19 pandemic. Informal caregivers are family members or friends who provide significant help to people with mental or physical health conditions. Trivedi aims to use the results of the survey to guide advocacy efforts in support of informal caregivers. A link to the approximately 20-minute survey, which can be taken from anywhere in the world, is available at https://is.gd/stanfordcaregiverstudy."
Psychological stress associated with remote work during COVID-19 crisis,Stanford," https://profiles.stanford.edu/julian-martinez-rincon 
https://profiles.stanford.edu/maheen-adamson 
https://profiles.stanford.edu/angela-phillips ","Adamson and her lab are studying the global impact of psychological stress during the COVID-19 crisis. They are using an eight- to 10-minute survey to help evaluate individual stress levels caused by factors related to remote work, homeschooling and dependent care."
Impact of COVID-19 pandemic on sleep and mental health,Stanford, https://med.stanford.edu/profiles/andrea-goldstein-piekarski ,"Goldstein-Piekarski and the Computational Psychiatry and Neuroimaging Sleep Lab (CoPsyN Sleep Lab) are conducting a survey-based study examining the short- and long-term impacts of the COVID-19 pandemic and the shelter-in-place orders on sleep, mood and quality of life. The data collected in this study will also help identify factors that predict the development of chronic sleep problems and other negative mental health outcomes arising from stressful life events. "
Gastrointestinal manifestations in SARS-CoV-2,Stanford," https://med.stanford.edu/profiles/alexander-podboy 
https://profiles.stanford.edu/aijaz-ahmed 
https://profiles.stanford.edu/george-cholankeril ","Cholankeril, Podboy and Ahmed aim to characterize the gastrointestinal symptoms associated with SARS-CoV-2 infection. Nearly one-third of patients in their study had gastrointestinal symptoms while infected with SARS-CoV-2. The team also saw mild elevations in liver enzymes in some patients, which may correlate with a need for a higher level of care. The group is continuing to investigate if gastrointestinal symptoms and liver enzyme abnormalities at presentation could be associated with increased severity of illness, requiring an escalation of care or higher rate of health care utilization."
"  The list isn’t comprehensive and instead represents a portion of Stanford Medicine research on COVID-19. If you are a Stanford Medicine scientist and would like to see your research included here, please send a note to: stanfordmed-communications@stanford.edu.",Stanford," https://pcrt.stanford.edu/covid 
https://hai.stanford.edu/research/covid-19-collaboration-opportunities 
https://hai.stanford.edu/covid-19-collaboration-clearinghouse 
https://abslab.sites.stanford.edu/ 
https://surf.stanford.edu/covid-19-tools/covid-19/ ",Support Stanford Medicine’s response to COVID-19 by making a gift.
Agency for International Development (USAID),Virginia Tech,https://www.usaid.gov/coronavirus/funding-requests-unsolicited-proposals,Partners may submit unsolicited proposals to COVID19_Concepts@usaid.gov.
Biomedical Advanced Research and Development Authority (BARDA),Virginia Tech,https://beta.sam.gov/opp/7c72ff2e5c514b2faa15765e78294128/view#general,"The due date was extended to 10/31/2020.
COVID-19 response related Areas of Interest includes: AOI 7.7.1 Diagnostic assay for human coronavirus using existing FDA-cleared platforms AOI 7.7.2 Point-of-care diagnostic assay for detection of SARS-CoV-2 virus AOI 7.7.3 Diagnostic assay for detection of COVID-19 disease (SARS-CoV-2 infection) AOI 8.3 COVID-19 Vaccine AOI 9.2 COVID-19 Therapeutics AOI 9.3 Immunomodulators or therapeutics targeting lung repair AOI 9.5 Pre-exposure and post-exposure prophylaxis AOI 10 Respiratory protective devices AOI 11 Ventilators AOI 17 Advanced Manufacturing Technologies"
Department of Defence (DOD) Defense Advanced Research Projects Agency (DARPA) Biological Technologies Office (BTO),Virginia Tech,https://beta.sam.gov/opp/4efd37762ed0475d871af927279f010d/view,"Proposal Abstract Due Date and Time: Abstracts may be submitted on a rolling basis until 4:00 PM ET, April 22, 2021. Full Proposal Due Date and Time: Proposals may be submitted on a rolling basis until 4:00 PM ET, April 22, 2021.
BTO is interested in submissions related to the following areas: - Discovering and leveraging novel findings from biotechnology, biochemistry, molecular biology, neuroscience, psychology, cognitive science, and related disciplines to advance treatment and resilience in neurological health, transformative neural processing, and optimize human performance. - Understanding and improving interfaces between the biological and physical world to enable seamless hybrid systems and revolutionary new human-machine interfaces. - Designing novel materials, sensors, or processes that mimic or are inspired by biological systems. - Leveraging and translating a biological system’s underlying design rules, functional processes, and/or means of interactivity to provide insight into or control over complex biological systems from biofilms to organs. - Developing new tools and capabilities for forward engineering of biological systems, such as cells, tissues, organs, organisms, and complex communities, to both develop new products and functional systems, as well as to gain new insights into underlying mechanisms. There are many more areas of interest listed in the guidelines."
Department of Homeland Security (DHS),Virginia Tech,https://beta.sam.gov/opp/01cbeafa8c0e47428ddd30693b4c47d6/view?keywords=%22Emerging%20Needs%22&sort=-relevance&index=&is_active=true&page=1&date_filter_index=0&inactive_filter_values=false&organization_id=100013095&refresh=y,"The COVID-19 pandemic has had an impact on many facets of DHS operations as well as the health and safety of agents, officers and the public.  While this SVIP COVID-19 Response & Future Mitigation Topic Call is intended to address several near-term use cases in response to the current pandemic, it is envisioned these solutions will have broader application to enhancing DHS operations as well as prepare DHS for any future mitigation. As DHS, state and local agencies, private industry and the public respond to the impacts of the COVID-19 pandemic and eventually resume operations safely within the context of a COVID-19 environment, there exists the need for solutions for a variety of purposes across DHS as well as our state and local and other Federal partners. The following illustrative scenarios / use cases are intended to describe where the technologies being sought by DHS in this topic call could potentially be applied: (1) Test and Validation Service for Security & Privacy of Contact Tracing Apps (2) Video Analytics for Self-Screening at TSA Checkpoints (3) Methods to Rapidly Disinfect Surfaces at TSA Checkpoints and other DHS Facilities (4) Collection and Integration of Authoritative Quantitative Open-Source Information (5) Stand-Off Methods for Point of Care Entry Detection at DHS Facilities."
FastGrants,Virginia Tech,https://www.grants.gov/web/grants/view-opportunity.html?oppId=321695,"The review starts on 4/12/2020, but FastGrants will continue to review applications after that date.
If you are a scientist at an academic institution currently working on a COVID-19 related project and in need of funding, we invite you to apply for a Fast Grant. Fast Grants are $10k to $500k and decisions are made in under 48 hours. If we approve the grant, you'll receive payment as quickly as your university can receive it."
"Gilead Sciences, Inc.",Virginia Tech,https://fastgrants.org/,"Mandatory letter of intent (LOI) due August 3, 2020. June 8th. After Aug 3, 2020, Gilead will evaluate and rank all LOIs. Top ranked LOIs will be invited to submit a full application and additional instructions will be provided to the submitter.
In an effort to further address the unmet medical need in COVID-19, Gilead Medical Affairs is launching the COMMIT program. The COMMIT program will support well defined individual projects of no more than $250,000 USD or equivalent sum; projects that are more than $250,000 will require approval by Gilead prior to submission. Successful projects should demonstrate clear objectives, defined timelines, a comprehensive operational plan, and propose data that has relevance to the medical community. Note: these projects will not have objectives/endpoints that overlap with studies that are known to be currently underway as of the day of the approval of the proposal, including those studies that are sponsored by either Gilead and/or third parties. See guidelines for research criteria."
Kaggle,Virginia Tech,https://www.gilead.com/science-and-medicine/research/investigator-sponsored-research/covid19-commit-rfp,"The White House and a coalition of leading research groups have prepared the COVID-19 Open Research Dataset (CORD-19). CORD-19 is a resource of over 45,000 scholarly articles, including over 33,000 with full text, about COVID-19, SARS-CoV-2, and related coronaviruses. Develop text and data mining tools that can help the medical community develop answers to high priority scientific questions. The CORD-19 dataset represents the most extensive machine-readable coronavirus literature collection available for data mining to date."
NIH - National Cancer Institute (NCI),Virginia Tech,https://www.kaggle.com/allen-institute-for-ai/CORD-19-research-challenge,"Applications will be accepted on a rolling basis from July 6, 2020, through August 14, 2020.
Through this Notice of Special Interest (NOSI), the National Cancer Institute (NCI) announces an opportunity for current NCI funded Principal Investigators whose postdoctoral fellows have temporarily lost stipend support from a non-profit funder because of the COVID-19 global pandemic may apply for an administrative supplement to cover the postdoctoral fellow’s salary plus applicable F&A for the time and effort devoted to the NCI funded grant."
NIH - National Center for Advancing Translational Sciences (NCATS),Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-20-082.html,"Applications will be accepted on a rolling basis from May 15, 2020 to January 25, 2022.
National Center for Advancing Translational Sciences (NCATS) will accept the submission of applications for Competitive Revisions to active grants to address only the following research areas of interest: 1) Incorporation of new and emerging data related to SARS-CoV-2 into ongoing research efforts to develop microphysiological systems/tissue chips models for COVID-19, 2) Use of microphysiological systems/tissue chips or evaluating, repurposing or modification of diagnostic tools to enable rapid detection of COVID-19 infection, 3) Use of microphysiological systems/tissue chips for the rapid development and assessment of potential therapeutic agents for COVID-19."
NIH - National Center for Advancing Translational Sciences (NCATS),Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/NOT-TR-20-017.html,"Applications will be accepted on a rolling basis through November 10, 2020.
The National Center for Advancing Translational Sciences (NCATS) is issuing this Notice of Special Interest (NOSI) to highlight the need for projects that address the coronavirus disease 2019 (COVID-19) Public Health Emergency. The Clinical and Translational Science Award (CTSA) Program is uniquely qualified to contribute to these efforts. NCATS is soliciting applications for Administrative Supplements (through PA-18-591) from current Clinical and Translational Science Award (CTSA) UL1 and U24 award recipients. See guidelines for specific FOAs."
NIH - National Institute of Allergy and Infectious Diseases (NIAID),Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/not-tr-20-029.html,"Applications will be accepted on a rolling basis, beginning on 04/30/2020.
The purpose of this Funding Opportunity Announcement (FOA) is to provide an expedited funding mechanism for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19). NIAID is issuing this FOA in response to the declared public health emergency issued by the Secretary, HHS, for 2019 Novel Coronavirus (COVID-19). See guidelines for areas of high priority."
NIH - National Institute of Allergy and Infectious Diseases (NIAID),Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-20-757.html,"Applications for this limited competition FOA will be accepted on a rolling basis, beginning July 13, 2020.
The purpose of this public health emergency funding opportunity is to provide Personal Protective Equipment (PPE) to directly support the needs of the NIAID’s vaccine and treatment clinical trials and clinical studies for COVID-19. This program will ensure that adequate protective equipment is available to directly assist in safely carrying out the clinical activities and direct interactions with the patients participating in the trial. Eligibility is limited to recipients conducting COVID-related clinical research and clinical studies supported by NIAID’s emergency appropriation provided by “The Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020” and “The Coronavirus Aid, Relief and Economic Security (CARES) Act”."
NIH - National Institute of Biomedical Imaging and Bioengineering (NIBIB),Virginia Tech,https://grants.nih.gov/grants/guide/pa-files/PAR-20-178.html,"Applications will be accepted on a rolling basis through November 10, 2020
The National Institute of Biomedical Imaging and Bioengineering (NIBIB) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for accelerating the development, translation, and commercialization of technologies to address Coronavirus Disease 2019 (COVID-19). The NIBIB is seeking applications from current grantees to develop life-saving technologies that can be ready for commercialization within one to two years. Please see notice for examples of technologies."
NIH - National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Virginia Tech,https://grants.nih.gov/grants/guide/pa-files/PAR-20-256.html,"Letter of Intent is due November 16, 2020, but is not required.
The purpose of this Funding Opportunity Announcement (FOA) is to support basic and clinical mechanistic research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) susceptibility, routes of infection, course of disease, morbidity and mortality in people with pre-existing diseases, or adverse acute or chronic outcomes in organs, tissues, and biological systems of specific interest to NIDDK. These include diabetes and other metabolic diseases, obesity, and endocrine, digestive, liver, pancreas, kidney, urological, and hematologic tissues and diseases."
NIH - National Institute of General Medical Sciences (NIGMS),Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/not-eb-20-008.html,"Applications will be accepted on a rolling basis through February 5, 2021.
National Iinstitute of General Medical Sciences will accept the submission of applications for Competitive Revisions to active grants to address only the following research areas of interest: Incorporation of data related to SARS-CoV-2 into ongoing research efforts to develop predictive models for the spread of SARS-CoV-2 and other related infectious agents (all relevant grants). Repurposing or modification of diagnostic tools currently under development to enable rapid detection of SARS-CoV-2 infection (SBIR/STTR grants only). Rapid development of potential therapeutic agents for COVID-19 (SBIR/STTR only)."
NIH - National Institute of Health,Virginia Tech,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-20-021.html,"Letter of intent (LOI) due date is 8/4/2020, but is not mandatory. Only 2 applications per institution. See the VT Limited Submission system to declare internal notice of intent.
The NIH Director's Early Independence Award (a component of the High-Risk, High-Reward Research program of the NIH Common Fund) provides an opportunity for exceptional junior scientists to accelerate their entry into an independent research career by forgoing the traditional post-doctoral training period. Though most newly graduated doctoral-level researchers would benefit from post-doctoral training, a small number of outstanding junior investigators are capable of launching directly into an independent research career. For those select junior investigators who have already established a record of scientific innovation and research productivity and have demonstrated unusual scientific vision and maturity, typical post-doctoral training would unnecessarily delay their entry into independent research. Due to the COVID-19 public health emergency, the Common Fund will dedicate funds provided by the CARES Act to support a total of 5-10 Early Independence Awards (through this FOA) or Transformative Research Awards (through RFA-RM-20-020) that bring new, innovative perspectives and approaches to the prevention of, preparation for, or response to coronavirus SARS-CoV-2, domestically or internationally. Any relevant area of coronavirus SARS-CoV-2 research is welcome, including behavioral/social science research, research on health disparities, novel therapeutics, and other related topics."
NIH - National Institute of Health - Muliple divisions,Virginia Tech,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-20-025.html,"Applications may be submitted either on 08/28/2020 or 12/01/2020.
This Funding Opportunity Announcement (FOA) encourages research with NIH-designated health disparity populations and other vulnerable groups on community interventions to address the adverse psychosocial, behavioral, and socioeconomic effects of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19). Applications are sought to test: 1) the impacts of mitigation strategies to prevent COVID-19 transmission and acquisition; and 2) already implemented, new, or adapted interventions to address the adverse consequences of the pandemic on the health of these groups."
